__Smoker69,[-148;-196],447260,CB5
softwayte,[-194;-131],0,CB3
TschooTschiee,[-146;187],0,CB5
abcywe,[-138;102],0,CB4
IBimsHarz5,[-138;101],0,CB4
IBimsHarz5,[-138;100],0,CB4
MrBwSpieler,[-146;180],0,CB5
Butterkeks2345,[-194;-143],0,CB3
IBimsHarz5,[-138;99],0,CB4
IBimsHarz5,[-138;98],0,CB4
Miner_ZA,[-194;-144],0,CB3
Miner_ZA,[-194;-145],0,CB3
XxSunBurnXx,[-194;-146],0,CB3
Legit_Freak,[-146;168],0,CB5
Legit_Freak,[-146;167],0,CB5
YT_Trigger,[-194;-149],0,CB3
maxmagiermax,[-194;-151],0,CB3
saftigknaftig,[-138;90],0,CB4
resctLukas,[-194;-153],0,CB3
nxtBukkit,[-138;89],0,CB4
RicesLOL,[-194;-155],0,CB3
abccb,[-138;87],0,CB4
RicesLOL,[-194;-156],0,CB3
IBIMSDERBEAR,[-138;83],0,CB4
TheDarkSaveYT,[-194;-159],0,CB3
DiscordHD,[-194;-162],0,CB3
lando_132,[-138;79],0,CB4
xVerpassterAnruf,[-194;-166],0,CB3
byGurkenTV,[-138;74],0,CB4
F1rePl4yer_HD,[-146;151],0,CB5
Ionapikesir,[-146;150],0,CB5
Alucard1606,[-194;-169],0,CB3
Ionapikesir,[-146;149],0,CB5
giuliaxkflr,[-138;71],0,CB4
Fixthemix2007,[-194;-170],0,CB3
xUnleqitMini,[-146;147],0,CB5
MCPolarbearYT,[-138;66],0,CB4
___CraftiPvP___,[-194;-173],0,CB3
_GlpPuffiGirl_,[-146;142],0,CB5
GurkTastisch,[-138;65],0,CB4
LynoxLp,[-194;-176],0,CB3
Bohne_Gamer,[-146;141],0,CB5
187_best,[-138;63],0,CB4
leacyb,[-194;-177],0,CB3
MonstaNess,[-146;140],0,CB5
II_JAMES_007_II,[-146;139],0,CB5
ZlashBeatbox,[-138;60],0,CB4
BimAntiSozial,[-138;59],0,CB4
zMultiClient,[-194;-183],0,CB3
LX53,[-146;137],0,CB5
F3D3Z,[-138;57],0,CB4
zQuertox9985,[-146;135],0,CB5
TSM_ZinikHD,[-138;49],0,CB4
zMultiClient,[-194;-184],0,CB3
EinDummesAnouk,[-146;125],0,CB5
Safetyschloss,[-194;-187],0,CB3
RaulFaul,[-146;123],0,CB5
shinra_peltek,[-138;43],0,CB4
Paschmann06,[-194;-189],0,CB3
zBreezlyFNA,[-146;121],0,CB5
_zUnknown_,[-138;41],0,CB4
